Date,Price,Open,High,Low,Vol.,Change %
07/01/22,"7,423.43","7,169.28","7,441.20","7,007.09",16.84B,3.54%
08/01/22,"7,284.15","7,446.01","7,578.85","7,263.62",14.59B,-1.88%
09/01/22,"6,893.81","7,284.15","7,514.04","6,829.29",21.81B,-5.36%
10/01/22,"7,094.53","6,893.81","7,132.85","6,707.62",18.29B,2.91%
11/01/22,"7,573.05","7,094.53","7,599.27","7,076.47",16.73B,6.74%
12/01/22,"7,451.74","7,573.05","7,599.70","7,302.82",12.47B,-1.60%
01/01/23,"7,771.70","7,451.74","7,875.58","7,448.69",17.09B,4.29%
02/01/23,"7,876.28","7,771.70","8,047.06","7,745.43",16.62B,1.35%
03/01/23,"7,631.74","7,876.28","7,974.40","7,206.82",22.22B,-3.10%
04/01/23,"7,870.57","7,631.74","7,936.11","7,631.74",13.30B,3.13%
05/01/23,"7,446.14","7,870.57","7,898.69","7,446.14",17.58B,-5.39%
06/01/23,"7,531.53","7,446.14","7,687.61","7,401.18",15.99B,1.15%
07/01/23,"7,699.41","7,531.53","7,722.92","7,229.57",12.96B,2.23%
08/01/23,"7,439.13","7,699.41","7,715.24","7,215.76",15.22B,-3.38%
09/01/23,"7,608.08","7,439.13","7,746.53","7,369.64",14.47B,2.27%
10/01/23,"7,321.72","7,608.08","7,687.91","7,279.86",15.12B,-3.76%
11/01/23,"7,453.75","7,321.72","7,533.77","7,304.89",15.17B,1.80%
12/01/23,"7,733.24","7,453.75","7,762.88","7,453.75",14.84B,3.75%
01/01/24,"7,630.57","7,733.24","7,764.37","7,404.08",17.95B,-1.33%
02/01/24,"7,630.02","7,630.57","7,748.73","7,492.98",21.73B,-0.01%
03/01/24,"7,952.62","7,630.02","7,975.38","7,598.47",22.36B,4.23%
04/01/24,"8,144.13","7,952.62","8,199.95","7,793.91",19.99B,2.41%
05/01/24,"8,275.38","8,144.13","8,474.41","8,111.38",21.44B,1.61%
06/01/24,"8,164.12","8,275.38","8,371.72","8,112.93",18.58B,-1.34%
07/01/24,"8,367.98","8,164.12","8,399.88","8,056.01",16.54B,2.50%
08/01/24,"8,376.63","8,283.36","8,414.37","8,008.23",1.08B,0.10%
09/01/24,"8,236.95","8,376.63","8,380.98","8,168.42",16.74B,-1.67%
10/01/24,"8,110.10","8,236.95","8,395.58","8,071.72",18.65B,-1.54%
11/01/24,"8,287.30","8,110.10","8,307.27","7,995.87",17.71B,2.18%
12/01/24,"8,173.02","8,287.30","8,388.37","8,002.34",14.58B,-1.38%
01/01/25,"8,673.96","8,173.02","8,692.84","8,160.60",18.07B,6.13%
02/01/25,"8,809.74","8,673.96","8,820.93","8,520.20",19.20B,1.57%
03/01/25,"8,582.81","8,809.74","8,908.82","8,481.11",20.81B,-2.58%
04/01/25,"8,494.85","8,582.81","8,671.91","7,544.83",21.43B,-1.02%
05/01/25,"8,772.38","8,494.85","8,824.00","8,468.26",18.74B,3.27%
06/01/25,"8,760.96","8,772.38","8,902.40","8,707.65",16.09B,-0.13%
07/01/25,"9,132.81","8,760.96","9,190.73","8,726.92",16.22B,4.24%
08/01/25,"9,187.34","9,132.81","9,357.51","9,027.94",14.89B,0.60%
09/01/25,"9,350.43","9,187.34","9,363.57","9,107.40",15.83B,1.78%
10/01/25,"9,717.25","9,350.46","9,787.63","9,276.91",16.48B,3.92%
11/01/25,"9,720.51","9,717.26","9,930.09","9,423.90",16.80B,0.03%
12/01/25,"9,664.00","9,720.55","9,745.31","9,607.95",6.23B,-0.58%
